#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1891 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:57 out:59 type:b dur:2 cpbdur:2 q:35.54 aq:35.49 tex:24510 mv:19661 misc:3405 imb:240 pmb:1590 smb:1770 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:35.37 aq:35.81 tex:13959 mv:11445 misc:3148 imb:45 pmb:1194 smb:2361 d:- ref:0 ;
in:63 out:61 type:P dur:2 cpbdur:2 q:35.12 aq:33.13 tex:101449 mv:23231 misc:2336 imb:715 pmb:2130 smb:755 d:- ref:0 ;
in:61 out:62 type:B dur:2 cpbdur:2 q:35.23 aq:35.24 tex:15727 mv:13296 misc:3161 imb:43 pmb:1211 smb:2346 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:35.18 aq:35.93 tex:7218 mv:8782 misc:2656 imb:19 pmb:841 smb:2740 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:34.76 aq:32.35 tex:77538 mv:19045 misc:2873 imb:459 pmb:2308 smb:833 d:- ref:0 w:6,65,2 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:35.10 aq:32.33 tex:122135 mv:25970 misc:1919 imb:994 pmb:2164 smb:442 d:- ref:0 w:6,65,-7 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:34.93 aq:35.42 tex:15793 mv:14567 misc:2944 imb:98 pmb:1111 smb:2391 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:35.15 aq:32.38 tex:128622 mv:27039 misc:1859 imb:918 pmb:2167 smb:515 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:35.12 aq:34.45 tex:23451 mv:14943 misc:3406 imb:70 pmb:1544 smb:1986 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:35.11 aq:35.73 tex:10775 mv:12398 misc:2963 imb:52 pmb:1090 smb:2458 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:35.13 aq:36.46 tex:5370 mv:6181 misc:2521 imb:12 pmb:721 smb:2867 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:35.65 aq:34.15 tex:82787 mv:24334 misc:2223 imb:1058 pmb:1852 smb:690 d:- ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:35.40 aq:34.72 tex:27751 mv:16059 misc:3342 imb:75 pmb:1636 smb:1889 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:35.27 aq:35.98 tex:4955 mv:6182 misc:2447 imb:9 pmb:695 smb:2896 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:35.53 aq:36.90 tex:13378 mv:12687 misc:2951 imb:92 pmb:1130 smb:2378 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:35.43 aq:33.14 tex:137374 mv:25880 misc:1162 imb:2362 pmb:976 smb:262 d:- ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:35.54 aq:34.89 tex:68742 mv:31928 misc:2498 imb:724 pmb:1853 smb:1023 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:35.60 aq:36.31 tex:29079 mv:20857 misc:2944 imb:270 pmb:1413 smb:1917 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:35.49 aq:35.71 tex:28332 mv:22311 misc:3141 imb:291 pmb:1556 smb:1753 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:35.84 aq:33.74 tex:149543 mv:27376 misc:1249 imb:2072 pmb:1227 smb:301 d:- ref:0 ;
